All Law Firms,Magic Circle,Silver Circle,Top 50 UK Firms,Top 20 US Firms,Top 100 UK Firms,US Firms (All),30 Largest National Firms,Top 200 UK Firms,Recognised Leader in East Anglia,Recognised Leader in the East Midlands,Recognised Leader in the North,Recognised Leader in the North West,Recognised Leader in the South East,Recognised Leader in the South West,Recognised Leader in Wales,Recognised Leader in the West Midlands,Recognised Leader in Yorkshire & Humber
Blaser Mills,,,,,,,,,,,,,,,,,
Blick & Co,,,,,,,,,,,,,,,,,
BLM,,,*,,*,,*,*,,,,,,,,,
Bobbetts Mackan,,,,,,,,,,,,,,,,,
Boddy Matthews,,,,,,,,,,,,,,,,,
Boies Schiller & Flexner,,,,,,*,,,,,,,,,,,
Bois Bois,,,,,,,,,,,,,,,,,
Bolt Burdon,,,,,,,,,,,,,,,,,
Bolt Burdon Kemp,,,,,,,,,,,,,,,,,
Bond Dickinson,,,*,,*,,*,*,,,*,,*,*,,,
Bonheur Legal,,,,,,,,,,,,,,,,,
Boodle Hatfield,,,,,*,,,*,,,,,,,,,
Bott & Co,,,,,,,,*,,,,,,,,,
Boult Wade Tennant,,,,,,,,,,,,,,,,,
Bowden Jones Solicitors,,,,,,,,,,,,,,,,,
Bowling & Co,,,,,,,,,,,,,,,,,
Boyes Turner,,,,,,,,*,,,,,*,,,,
BPE,,,,,,,,*,,,,,,,,,
Brabners,,,,,*,,,*,,,,,,,,,
Bracewell,,,,,,*,,,,,,,,,,,
Bracher Rawlins,,,,,,,,,,,,,,,,,
Brachers,,,,,,,,*,,,,,,,,,
Brahams Dutt Badrick French,,,,,,,,,,,,,,,,,
Breeze and Wyles,,,,,,,,,,,,,,,,,
Brethertons,,,,,,,,*,,,,,,,,,
Brett Wilson,,,,,,,,,,,,,,,,,
Briffa,,,,,,,,,,,,,,,,,
Bristows,,,,,*,,,*,,,,,,,,,
Brodies,,,,,*,,,*,,,,,,,,,
Brookman Solicitors,,,,,,,,,,,,,,,,,
BrookStreet des Roches,,,,,,,,,,,,,,,,,
Bross Bennett,,,,,,,,,,,,,,,,,
Browell Smith & Co Solicitors,,,,,,,,,,,,,,,,,
Brown Rudnick,,,,,,*,,,,,,,,,,,
Browne Jacobson,,,,,*,,*,*,,*,,,,,,,
Bryan Cave,,,,,,*,,,,,,,,,,,
bto solicitors,,,,,,,,*,,,,,,,,,
Buckles Solicitors,,,,,,,,,,,,,,,,,
BuckleySandler,,,,,,*,,,,,,,,,,,
Burges Salmon,,,*,,*,,,*,,,,,,*,,,
Burness Paull,,,,,*,,,*,,,,,,,,,
Burnetts,,,,,,,,,,,*,,,,,,
Burton Copeland,,,,,,,,,,,,,,,,,
Butcher Andrews,,,,,,,,,,,,,,,,,
Butler Snow,,,,,,*,,,,,,,,,,,
Byrne and Partners,,,,,,,,,,,,,,,,,
C & H Jefferson,,,,,,,,,,,,,,,,,
Cadwalader Wickersham & Taft,,,,,,*,,,,,,,,,,,
Cahill Gordon & Reindel,,,,,,*,,,,,,,,,,,
Cains,,,,,,,,,,,,,,,,,
Cambridge Family Law Practice,,,,,,,,,,,,,,,,,
Camilla Baldwin,,,,,,,,,,,,,,,,,
Campbell Johnston Clark,,,,,,,,,,,,,,,,,
Candey,,,,,,,,,,,,,,,,,
Capital Defence Lawyers,,,,,,,,,,,,,,,,,
Capital Law,,,,,,,,,,,,,,,*,,
Capsticks,,,,,*,,*,*,,,,,,,,,
Carey Olsen,,,,,,,,,,,,,,,,,
Carpmaels & Ransford,,,,,,,,,,,,,,,,,
Carson McDowell,,,,,,,,,,,,,,,,,
Carter Perry Bailey,,,,,,,,,,,,,,,,,
Carter Thomas,,,,,,,,,,,,,,,,,
Carter-Ruck,,,,,,,,,,,,,,,,,
Cartwright King,,,,,,,,,,,,,,,,,
CFG Law,,,,,,,,,,,,,,,,,
Chadbourne & Parke,,,,,,*,,,,,,,,,,,
Charles Russell Speechlys,,,*,,*,,,*,,,,,*,*,,,
CIS London & Partners,,,,,,,,,,,,,,,,,
Clarion,,,,,,,,*,,,,,,,,,
Clarke Kiernan,,,,,,,,,,,,,,,,,
Clarke Mairs,,,,,,,,,,,,,,,,,
Clarke Willmott,,,,,*,,*,*,,,,,,*,*,,
Clarkslegal,,,,,,,,*,,,,,,,,,
Clasis Law,,,,,,,,,,,,,,,,,
Clausen Miller,,,,,,*,,,,,,,,,,,
Clear Law,,,,,,,,,,,,,,,,,
Cleary Gottlieb Steen & Hamilton,,,,*,,*,,,,,,,,,,,
Cleaver Fulton Rankin,,,,,,,,,,,,,,,,,
Cleveland,,,,,,,,,,,,,,,,,
Clifford Chance,*,,*,,*,,,*,,,,,,,,,
Clifton Ingram,,,,,,,,,,,,,,,,,
Clintons,,,,,,,,,,,,,,,,,
Clyde & Co,,,*,,*,,,*,,,,,*,,,,
CM Murray,,,,,,,,,,,,,,,,,
CMS,,,*,,*,,,*,,,,,,,,,
Coffin Mew,,,,,,,,*,,,,,,,,,
Collas Crill,,,,,,,,,,,,,,,,,
Collyer Bristow,,,,,,,,*,,,,,,,,,
Coltman Warner Cranston,,,,,,,,,,,,,,,,,
Constantine Cannon,,,,,,*,,,,,,,,,,,
Cooke Young & Keidan,,,,,,,,,,,,,,,,,
Cooley,,,,,,*,,,,,,,,,,,
Co-Operative Group Legal Services,,,,,,,,*,,,,,,,,,
Corbett & Co,,,,,,,,,,,,,,,,,
Corker Binning,,,,,,,,,,,,,,,,,
Couchmans,,,,,,,,,,,,,,,,,
Covington & Burling,,,,*,,*,,,,,,,,,,,
Cozen O'Connor,,,,,,*,,,,,,,,,,,
Cozens-Hardy,,,,,,,,,,,,,,,,,
Cravath Swaine & Moore,,,,,,*,,,,,,,,,,,
Cripps,,,,,*,,,*,,,,,*,,,,
Crowell & Moring,,,,,,*,,,,,,,,,,,
Cubism Law,,,,,,,,,,,,,,,,,
Cunninghams,,,,,,,,,,,,,,,,,
Curtis Davis Garrard,,,,,,,,,,,,,,,,,
Curtis Mallet-Prevost Colt & Mosle,,,,,,*,,,,,,,,,,,
D Young & Co,,,,,,,,,,,,,,,,,
DAC Beachcroft,,,*,,*,,*,*,,,*,,,*,,,
Dadds LLP Licensing Solicitors,,,,,,,,,,,,,,,,,
Daniel Berman & Co,,,,,,,,,,,,,,,,,
Darbys Solicitors,,,,,,,,*,,,,,,,,,
David Bigmore & Co in Association with Goodman Derrick LLP,,,,,,,,,,,,,,,,,
David du Pré & Co,,,,,,,,,,,,,,,,,
David Gray Solicitors,,,,,,,,,,,,,,,,,
David Phillips & Partners,,,,,,,,,,,,,,,,,
David Price Solicitors & Advocates,,,,,,,,,,,,,,,,,
Davidson Chalmers,,,,,,,,,,,,,,,,,
Davidson Morris,,,,,,,,,,,,,,,,,
Davies & Ingram,,,,,,,,,,,,,,,,,
Davis Polk,,,,,,*,,,,,,,,,,,
Davitt Jones Bould,,,,,,,,,,,,,,,,,
Dawson Cornwell,,,,,,,,,,,,,,,,,
DaySparkes,,,,,,,,,,,,,,,,,
DBS Hearne,,,,,,,,,,,,,,,,,
Debenhams Ottaway,,,,,,,,,,,,,,,,,
Debevoise & Plimpton,,,,*,,*,,,,,,,,,,,
Dechert,,,,*,,*,,,,,,,,,,,
Dehns,,,,,,,,,,,,,,,,,
Deighton Pierce Glynn,,,,,,,,,,,,,,,,,
Dentons,,,*,,*,,,,,,,,,,,,
Devonshires,,,,,,,,,,,,,,,,,
Dickinson Gleeson,,,,,,,,,,,,,,,,,
Dickson Minto,,,,,*,,,*,,,,,,,,,
Digby Brown,,,,,,,,*,,,,,,,,,
Dixon Phillips,,,,,,,,,,,,,,,,,
DLA Piper,,,*,,*,,*,*,,,,,,,,*,*
DMH Stallard,,,,,*,,,*,,,,,*,,,,
Dolmans,,,,,,,,,,,,,,,,,
Dorsey & Whitney,,,,,,*,,,,,,,,,,,
Douglas Silas Solicitors,,,,,,,,,,,,,,,,,
Downs,,,,,,,,,,,,,,,,,
Doyle Clayton,,,,,,,,,,,,,,,,,
DQ Advocates,,,,,,,,,,,,,,,,,
Drinker Biddle & Reath,,,,,,*,,,,,,,,,,,
Druces,,,,,,,,,,,,,,,,,
Duane Morris,,,,,,*,,,,,,,,,,,
Duffield Harrison,,,,,,,,,,,,,,,,,
Duncan Lewis Solicitors,,,,,,,,,,,,,,,,,
Duncan Watts,,,,,,,,,,,,,,,,,
DWF,,,*,,*,,*,*,,,*,,,,,*,*
DWFM Beckman,,,,,,,,,,,,,,,,,
E G Arghyrakis & Co,,,,,,,,,,,,,,,,,
E&A Law,,,,,,,,,,,,,,,,,
e3 employment law,,,,,,,,,,,,,,,,,
EAD Solicitors,,,,,,,,*,,,,,,,,,
Eastwoods,,,,,,,,,,,,,,,,,
EBR Attridge,,,,,,,,,,,,,,,,,
EC3\Legal,,,,,,,,,,,,,,,,,
Edmonds Marshall McMahon,,,,,,,,,,,,,,,,,
Edward Fail Bradshaw & Waterson,,,,,,,,,,,,,,,,,
Edward Hayes Lawyers,,,,,,,,,,,,,,,,,
Edwin Coe,,,,,,,,*,,,,,,,,,
EIP,,,,,,,,,,,,,,,,,
Elkington & Fife,,,,,,,,,,,,,,,,,
Ellisons Solicitors,,,,,,,,,,,,,*,,,,
Emms Gilmore Liberson,,,,,,,,,,,,,,,,,
EMW Law,,,,,,,,*,,,,,*,,,,
Endeavour Partnership,,,,,,,,,,,*,,,,,,
Enoch Evans,,,,,,,,,,,,,,,,,
Enyo Law,,,,,,,,,,,,,,,,,
Eversheds,,,*,,*,,*,*,*,*,*,,,,*,*,*
Express,,,,,,,,*,,,,,,,,,
Faegre Baker Daniels,,,,,,*,,,,,,,,,,,
Family Law in Partnership,,,,,,,,,,,,,,,,,
Family Law Partners,,,,,,,,,,,,,,,,,
Farnfields,,,,,,,,,,,,,,,,,
Farrer & Co,,,,,*,,,*,,,,,,,,,
Fasken Martineau,,,,,,,,,,,,,,,,,
FBC Manby Bowdler,,,,,,,,*,,,,,,,,,
Fenchurch Law,,,,,,,,,,,,,,,,,
Fenwick Elliott,,,,,,,,*,,,,,,,,,
Field Seymour Parkes,,,,,,,,,,,,,*,,,,
Fieldfisher,,,*,,*,,,*,,,,,,,,,
Finnegan,,,,,,*,,,,,,,,,,,
Fisher Jones Greenwood,,,,,,,,,,,,,*,,,,
Fisher Meredith,,,,,,,,,,,,,,,,,
Fladgate,,,,,*,,,*,,,,,,,,,
Fletcher Day,,,,,,,,,,,,,,,,,
Flint Bishop,,,,,,,,*,,*,,,,,,,
FMW Law,,,,,,,,,,,,,,,,,
Foot Anstey,,,,,*,,,*,,,,,,*,,,
Forbes Anderson Free,,,,,,,,,,,,,,,,,
Forbes Solicitors,,,,,,,,,,,,,,,,,
Forde Campbell,,,,,,,,,,,,,,,,,
Forrest Williams,,,,,,,,,,,,,,,,,
Forresters,,,,,,,,,,,,,,,,,
Forster Dean,,,,,,,*,*,,,,,,,,,
Forsters,,,,,*,,,,,,,,,,,,
Fox,,,,,,,,,,,,,,,,,
Fox Williams,,,,,,,,*,,,,,,,,,
Fragomen,,,,,,*,,,,,,,,,,,
FranckelLaw,,,,,,,,,,,,,,,,,
Freemans Solicitors,,,,,,,,,,,,,,,,,
Freeths,,,,,*,,*,*,,*,,,*,,,,
Freshfields Bruckhaus Deringer,*,,*,,*,,,*,,,,*,,,,,
Fried Frank Harris Shriver & Jacobson,,,,,,*,,,,,,,,,,,
Frisby & Co,,,,,,,,,,,,,,,,,
Froriep,,,,,,,,,,,,,,,,,
Funnell & Perring,,,,,,,,,,,,,,,,,
Furley Page Solicitors,,,,,,,,*,,,,,,,,,
Gaby Hardwicke Solicitors,,,,,,,,,,,,,,,,,
Gamlins,,,,,,,,,,,,,,,,,
Ganguin Samartin,,,,,,,,,,,,,,,,,
Gannons Commercial Law,,,,,,,,,,,,,,,,,
Gateley,,,*,,*,,*,*,,*,,,,,,*,
Geldards,,,,,*,,,*,,*,,,,,*,,
George Green,,,,,,,,,,,,,,,,,
Gherson,,,,,,,,,,,,,,,,,
Gibson & Co,,,,,,,,,,,,,,,,,
Gibson Dunn,,,,*,,*,,,,,,,,,,,
Gibson Kerr,,,,,,,,,,,,,,,,,
Gide Loyrette Nouel,,,,,,,,,,,,,,,,,
Gildeas,,,,,,,,,,,,,,,,,
Gillespie Macandrew,,,,,,,,*,,,,,,,,,
Gillhams Solicitors,,,,,,,,,,,,,,,,,
Glovers,,,,,,,,,,,,,,,,,
GMS Law,,,,,,,,,,,,,,,,,
Goldberg Segalla,,,,,,*,,,,,,,,,,,
Goodman Derrick,,,,,,,,*,,,,,,,,,
Goodman Ray,,,,,,,,,,,,,,,,,
Goodwin,,,,,,*,,,,,,,,,,,
Goodwin Procter,,,,,,*,,,,,,,,,,,
Goodyear Blackie Herrington Solicitors,,,,,,,,,,,,,,,,,
Gordon Dadds,,,,,,,,*,,,,,,,,,
Gordons,,,,,*,,,*,,,,,,,,,
Gotelee,,,,,,,,,*,,,,,,,,
Gough Law,,,,,,,,,,,,,,,,,
Gowling WLG,,,*,,*,,*,*,,,,,,,,*,
GQ Employment Law,,,,,,,,,,,,,,,,,
Greenberg Traurig Maher,,,,,,*,,,,,,,,,,,
Greene & Greene,,,,,,,,,,,,,,,,,
Greenwoods,,,,,,,,,*,,,,,,,,
Griffith Smith Farrington Webb,,,,,,,,,,,,,,,,,
GRM Law,,,,,,,,,,,,,,,,,
Gross & Co,,,,,,,,,,,,,,,,,
GRP Rainer,,,,,,,,,,,,,,,,,
GSC Solicitors,,,,,,,,,,,,,,,,,
GT Stewart Solicitors,,,,,,,,,,,,,,,,,
Gülay Mehmet Solicitors,,,,,,,,,,,,,,,,,
Gulbenkian Andonian,,,,,,,,,,,,,,,,,
Guney Clark & Ryan,,,,,,,,,,,,,,,,,
gunnercooke,,,,,,,,,,,,,,,,,
Hall Smith Whittingham,,,,,,,,,,,,,,,,,
Halliday Campbell WS,,,,,,,,,,,,,,,,,
Hamilton Pratt,,,,,,,,,,,,,,,,,
Hamlins,,,,,,,,*,,,,,,,,,
Hansel Henson,,,,,,,,,,,,,,,,,
Hanson Renouf,,,,,,,,,,,,,,,,,
Harbottle & Lewis,,,,,*,,,*,,,,,,,,,
Harcus Sinclair,,,,,,,,,,,,,,,,,
Harneys,,,,,,,,,,,,,,,,,
Harper Macleod,,,,,*,,,*,,,,,,,,,
Harris Hagan,,,,,,,,,,,,,,,,,
Harris Solicitors,,,,,,,,,,,,,,,,,
Harrison Bundey,,,,,,,,,,,,,,,,,
Harrison Grant,,,,,,,,,,,,,,,,,
Harrowells,,,,,,,,,,,,,,,,,
Haseltine Lake,,,,,,,,,,,,,,,,,
Hatstone Lawyers,,,,,,,,,,,,,,,,,
Hausfeld,,,,,,,,,,,,,,,,,
Hawkins Hatton,,,,,,,,,,,,,,,,,
Hay & Kilner,,,,,,,,,,,*,,,,,,
Hayes + Storr,,,,,,,,,,,,,,,,,
HBJ Claim Solutions LLP,,,,,,,,,,,,,,,,,
HBJ Gateley,,,,,,,,,,,,,,,,,
Healys,,,,,,,,,,,,,,,,,
Hedges Law,,,,,,,,,,,,,,,,,
Hempsons,,,,,,,,,,,,,,,,,
Henmans Freeth,,,,,,,,,,,,,,,,,
Herbert Smith Freehills,,*,*,,*,,,*,,,,,,,,,
Herrington Carmichael,,,,,,,,,,,,,,,,,
Hewitsons,,,,,,,,*,*,,,,,,,,
Hextalls,,,,,,,,,,,,,,,,,
Hibberts,,,,,,,,,,,,,,,,,
Hickman and Rose,,,,,,,,,,,,,,,,,
Higgs & Sons,,,,,,,,*,,,,,,,,,
Hill Dickinson,,,*,,*,,*,*,,,,,,,,,
Hillyer McKeown,,,,,,,,,,,,*,,,,,
HLW Keeble Hawson,,,,,,,,*,,,,,,,,,
Hodge Jones & Allen,,,,,,,,*,,,,,,,,,
Hogan Lovells,,,*,,*,,,*,,,,,,,,,
Holman Fenwick Willan,,,*,,*,,,*,,,,,,,,,
Houthoff Buruma,,,,,,,,,,,,,,,,,
Howard & Byrne,,,,,,,,,,,,,,,,,
Howard Kennedy,,,,,*,,,*,,,,,,,,,
Howarth Goodman,,,,,,,,,,,,,,,,,
Howes Percival,,,,,,,,*,*,*,,,,,,,
Hudgell & Partners,,,,,,,,,,,,,,,,,
Hudson McKenzie,,,,,,,,,,,,,,,,,
Hugh James,,,,,*,,,*,,,,,,,*,,
Hughes Fowler Carruthers,,,,,,,,,,,,,,,,,
Hughmans,,,,,,,,,,,,,,,,,
Humphreys & Co,,,,,,,,,,,,,,,,,
Humphries Kirk,,,,,,,,*,,,,,,,,,
Hunt & Coombs,,,,,,,,,,,,,,,,,
Hunters incorporating May May & Merrimans,,,,,,,,*,,,,,,,,,
Hunton & Williams,,,,,,*,,,,,,,,,,,
Husch Blackwell,,,,,,*,,,,,,,,,,,
Hutton's Solicitors & Advocates,,,,,,,,,,,,,,,,,
IBB Solicitors,,,,,,,,*,,,,,*,,,,
iLaw,,,,,,,,,,,,,,,,,
Imran Khan and Partners,,,,,,,,,,,,,,,,,
Ince & Co,,,*,,*,,,*,,,,,,,,,
Ingram Winter Green,,,,,,,,,,,,,,,,,
Irwin Mitchell,,,*,,*,,*,*,,,,,*,,,*,*
Ison Harrison,,,,,,,,,,,,,,,,,
J A Kemp,,,,,,,,,,,,,,,,,
J B Leitch,,,,,,,,,,,,,,,,,
Jackson Parton Solicitors,,,,,,,,,,,,,,,,,
Jams International,,,,,,,,,,,,,,,,,
Janes Solicitors,,,,,,,,,,,,,,,,,
JE Bennet Law,,,,,,,,,,,,,,,,,
Jenner & Block,,,,,,*,,,,,,,,,,,
JMW Solicitors,,,,,,,,*,,,,,,,,,
Joelson,,,,,,,,,,,,,,,,,
John Ford Solicitors,,,,,,,,,,,,,,,,,
John Hooper & Co,,,,,,,,,,,,,,,,,
John McKee Solicitors,,,,,,,,,,,,,,,,,
Johnsons Solicitors,,,,,,,,,,,,,,,,,
Jones Day,,,,*,,*,,,,,,,,,,,
Jones Nickolds,,,,,,,,,,,,,,,,,
Joseph Hage Aaronson,,,,,,,,,,,,,,,,,
JPC Law,,,,,,,,,,,,,,,,,
JSK Law,,,,,,,,,,,,,,,,,
Judge & Priestley,,,,,,,,,,,,,,,,,
Jung & Co Solicitors,,,,,,,,,,,,,,,,,
K J Smith Solicitors,,,,,,,,,,,,,,,,,
K&L Gates,,,,*,,*,,,,,,,,,,,
Kangs Solicitors,,,,,,,,,,,,,,,,,
Katten Muchin Rosenman,,,,,,*,,,,,,,,,,,
Kaye Scholer,,,,,,*,,,,,,,,,,,
KBL Solicitors,,,,,,,,,,,,,,,,,
Kelcey & Hall,,,,,,,,,,,,,,,,,
Kemp Little,,,,,,,,*,,,,,,,,,
Kempner & Partners,,,,,,,,,,,,,,,,,
Kennedys,,,*,,*,,*,*,,,,,,,,,
Kenneth M Barrow & Co,,,,,,,,,,,,,,,,,
Keoghs,,,,,*,,*,*,,,,,,,,,
Kerman & Co,,,,,,,,,,,,,,,,,
Kerseys Solicitors,,,,,,,,,,,,,,,,,
Kervin & Barnes Solicitors,,,,,,,,,,,,,,,,,
Ketley Miller Joels,,,,,,,,,,,,,,,,,
Keystone Law,,,,,,,,*,,,,,,,,,
Khaitan Legal Associates,,,,,,,,,,,,,,,,,
Khiara Law,,,,,,,,,,,,,,,,,
Kilburn & Strode,,,,,,,,,,,,,,,,,
King & Spalding,,,,,,*,,,,,,,,,,,
King & Wood Mallesons,,*,,,,,,*,,,,,,,,,
Kingsley Napley,,,,,*,,,*,,,,,,,,,
Kirkland & Ellis,,,,*,,*,,,,,,,,,,,
Kitsons,,,,,,,,,,,,,,,,,
Knights,,,,,,,,*,,,,,,,*,,
Kobre & Kim,,,,,,*,,,,,,,,,,,
Kuit Steinart Levy,,,,,,,,,,,,,,,,,
Kuits,,,,,,,,*,,,,,,,,,
Lacey Advocates,,,,,,,,,,,,,,,,,
Laceys,,,,,,,,,,,,,,,,,
Ladas & Parry,,,,,,*,,,,,,,,,,,
Land Law,,,,,,,,,,,,,,,,,
Langleys,,,,,,,,*,,,,,,,,,
Lanyon Bowdler,,,,,,,,,,,,,,,,,
Latham & Watkins,,,,*,,*,,,,,,*,,,,,
Latimer Hinks Solicitors,,,,,,,,,,,,,,,,,
Latta & Co,,,,,,,,,,,,,,,,,
Laura Devine Solicitors,,,,,,,,,,,,,,,,,
Lawford Kidd,,,,,,,,,,,,,,,,,
Lawrence Lupin,,,,,,,,,,,,,,,,,
Lawtons,,,,,,,,,,,,,,,,,
Lax & Co,,,,,,,,,,,,,,,,,
LB Claims,,,,,,,,,,,,,,,,,
LCF Law,,,,,,,,,,,,,,,,,
Leathes Prior,,,,,,,,,,,,,,,,,
Ledingham Chalmers,,,,,,,,*,,,,,,,,,
Lee & Thompson,,,,,,,,,,,,,,,,,
Lee Bolton Monier-Williams,,,,,,,,,,,,,,,,,
Lees Solicitors,,,,,,,,,,,,,,,,,
Leigh Day,,,,,,,,,,,,,,,,,
Lester Aldridge,,,,,,,,*,,,,,,*,,,
Levi Solicitors,,,,,,,,,,,,,,,,,
Levison Meltzer Pigott,,,,,,,,,,,,,,,,,
Levy & McRae,,,,,,,,,,,,,,,,,
Lewis Baach,,,,,,*,,,,,,,,,,,
Lewis Nedas,,,,,,,,,,,,,,,,,
Lewis Silkin,,,,,*,,,*,,,,,,,*,,
Liedekerke Wolters Waelbroeck Kirkpatrick,,,,,,,,,,,,,,,,,
Linder Myers,,,,,,,,,,,,,,,,,
Lindsays,,,,,,,,*,,,,,,,,,
Linklaters,*,,*,,*,,,*,,,,,,,,,
Livingstone Brown,,,,,,,,,,,,,,,,,
Lloyds PR Solicitors,,,,,,,,,,,,,,,,,
Loch Employment Law,,,,,,,,,,,,,,,,,
Locke Lord,,,,,,*,,,,,,,,,,,
Lodders Solicitors,,,,,,,,,,,,,,,,,
LOGOS,,,,,,,,,,,,,,,,,
Longmores Solicitors,,,,,,,,,,,,,,,,,
Lovell Chohan,,,,,,,,,,,,,,,,,
Loyens & Loeff,,,,,,,,,,,,,,,,,
LP Evans,,,,,,,,,,,,,,,,,
Lupton Fawcett Denison Till,,,,,,,,*,,,,,,,,,
LXL,,,,,,,,,,,,,,,,,
M & M Solicitors,,,,,,,,,,,,,,,,,
M Taher & Co,,,,,,,,,,,,,,,,,
Macdonald Henderson,,,,,,,,,,,,,,,,,
Macfarlanes,,*,*,,*,,,*,,,,,,,,,
Mackinnons,,,,,,,,,,,,,,,,,
